"Date","Price","Open","High","Low","Change %"
"Jun 15, 2018","2,895.50","2,863.85","2,901.00","2,861.61","1.12%"
"Jun 14, 2018","2,863.35","2,859.75","2,867.95","2,848.76","0.17%"
"Jun 13, 2018","2,858.50","2,862.14","2,868.40","2,845.10","-0.11%"
"Jun 12, 2018","2,861.62","2,863.12","2,868.36","2,845.88","-0.22%"
"Jun 11, 2018","2,868.00","2,860.80","2,868.25","2,858.30","0.33%"
"Jun 08, 2018","2,858.55","2,850.75","2,866.50","2,839.00","0.37%"
"Jun 07, 2018","2,848.11","2,828.45","2,855.76","2,823.07","0.64%"
"Jun 06, 2018","2,829.95","2,852.05","2,854.10","2,818.05","-0.82%"
"Jun 05, 2018","2,853.28","2,861.03","2,889.66","2,848.72","-0.32%"
"Jun 04, 2018","2,862.39","2,868.91","2,876.18","2,859.39","-0.23%"
"Jun 01, 2018","2,868.91","2,893.51","2,895.64","2,858.30","-0.74%"
"May 31, 2018","2,890.35","2,876.65","2,897.33","2,874.27","0.45%"
"May 30, 2018","2,877.50","2,905.40","2,907.50","2,870.15","-0.99%"
"May 29, 2018","2,906.15","2,875.00","2,911.00","2,866.60","0.94%"
"May 28, 2018","2,879.00","2,880.45","2,883.95","2,869.00","0.03%"
"May 25, 2018","2,878.00","2,854.13","2,900.70","2,852.29","0.88%"
"May 24, 2018","2,853.00","2,874.25","2,877.95","2,849.13","-0.78%"
"May 23, 2018","2,875.50","2,853.80","2,881.95","2,849.00","0.80%"
"May 22, 2018","2,852.80","2,876.00","2,876.50","2,842.76","-0.81%"
"May 21, 2018","2,876.00","2,919.60","2,923.00","2,872.58","-1.57%"
"May 18, 2018","2,922.01","2,905.43","2,945.80","2,903.84","0.59%"
"May 17, 2018","2,904.90","2,863.00","2,906.46","2,858.10","1.44%"
"May 16, 2018","2,863.72","2,873.97","2,889.43","2,852.07","-0.47%"
"May 15, 2018","2,877.30","2,837.37","2,906.10","2,835.71","1.41%"
